번호,관리번호,지정일자,해제일자,운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,도로명우편번호,시설위치(지상/지하),시설면적(㎡),최대수용인원,최종수정시점,데이터갱신구분,데이터갱신일자,위도(도),위도(분),위도(초),경도(도),경도(분),경도(초),위도(EPSG4326),경도(EPSG4326),좌표정보(X),좌표정보(Y)
7452,3670000-S199200007,1992-05-30,,사용중,엑스포3단지아파트 308동(지하 1층 주차장),공공용시설,대전광역시 유성구 엑스포로 448 (전민동),대전광역시 유성구 전민동 464번지 1호,34049,지하,548,664,2024-01-01 22:10,U,2024-01-03 2:40,36,23,46.41,127,24,18.85,36.39622374,127.4052371,991502.1683,1822086.064
7453,3670000-S199200009,1992-05-30,,사용중,엑스포5단지아파트 502동(지하 1층 주차장),공공용시설,대전광역시 유성구 엑스포로 448 (전민동),대전광역시 유성구 전민동 464번지 1호,34049,지하,348,421,2023-10-11 18:41,U,2023-10-13 2:40,36,23,46.41,127,24,18.85,36.39622374,127.4052371,991502.1683,1822086.064
7454,3670000-S199200010,1992-06-01,,사용중,유성구청 지하1층 대강당,공공용시설,대전광역시 유성구 대학로 211 (어은동),대전광역시 유성구 어은동 109번지,34139,지하,768,930,2023-10-11 18:41,U,2023-10-13 2:40,36,21,41.95,127,21,23.72,36.3616464,127.3566412,987138.6596,1818256.058
7455,3670000-S199300004,1993-03-27,,사용중,대림두레아파트(지하1층 주차장),공공용시설,"대전광역시 유성구 가정로 65 (신성동, 대림두레아파트)",대전광역시 유성구 신성동 152번지 1호,34120,지하,13779,16701,2023-10-11 18:42,U,2023-10-13 2:40,36,23,10.79,127,21,1.67,36.38633139,127.3504628,986588.6059,1820994.999
7456,3670000-S199300005,1993-01-15,,사용중,럭키하나아파트(지하1층 주차장),공공용시설,"대전광역시 유성구 가정로 63 (신성동, 럭키하나아파트)",대전광역시 유성구 신성동 153번지,34119,지하,9548,11573,2023-10-11 18:42,U,2023-10-13 2:40,36,23,9.33,127,21,1.22,36.38592509,127.350339,986577.4327,1820949.948
7457,3670000-S199300006,1993-05-06,,사용중,한울아파트(지하1층 주차장),공공용시설,대전광역시 유성구 가정로 43 (신성동),대전광역시 유성구 신성동 160번지 1호,34118,지하,9251,11213,2023-10-11 18:43,U,2023-10-13 2:40,36,23,6.3,127,20,53.12,36.38510906,127.3480633,986373.1918,1820859.751
7458,3670000-S199300013,1993-09-15,,사용중,나래아파트105동(지하1층주차장),공공용시설,대전광역시 유성구 엑스포로 501 (전민동),대전광역시 유성구 전민동 462번지 4호,34048,지하,639,774,2024-01-01 22:10,U,2024-01-03 2:40,36,24,4.7,127,24,16.76,36.40102962,127.4046835,991453.0515,1822619.192
7459,3670000-S199300015,1993-09-15,,사용중,나래아파트110동(지하1층주차장),공공용시설,대전광역시 유성구 엑스포로 501 (전민동),대전광역시 유성구 전민동 462번지 4호,34048,지하,299,362,2024-01-01 22:10,U,2024-01-03 2:40,36,24,4.7,127,24,16.76,36.40102962,127.4046835,991453.0515,1822619.192
7460,3670000-S199300016,1993-01-01,,사용중,한빛아파트 136동 지하 1층 주차장,공공용시설,"대전광역시 유성구 어은로 57 (어은동, 한빛아파트)",대전광역시 유성구 어은동 99번지,34140,지하,227,275,2024-01-01 22:10,U,2024-01-03 2:40,36,21,48.31,127,21,23.35,36.36331624,127.3564466,987121.4729,1818441.305
7461,3670000-S199300017,1993-01-01,,사용중,한빛아파트 117동 지하 1층 주차장,공공용시설,"대전광역시 유성구 어은로 57 (어은동, 한빛아파트)",대전광역시 유성구 어은동 99번지,34140,지하,227,275,2024-01-01 22:11,U,2024-01-03 2:40,36,21,48.31,127,21,23.35,36.36331624,127.3564466,987121.4729,1818441.305
